date,temperature
2023-01-01,28.354718717220816
2023-01-02,21.787021200981734
2023-01-03,10.096227746995334
2023-01-04,24.431732800503955
2023-01-05,22.06141086032083
2023-01-06,16.1387200396953
2023-01-07,10.838856113710564
2023-01-08,25.525639370578386
2023-01-09,20.878725445123706
2023-01-10,13.64806695982048
2023-01-11,25.548782870044835
2023-01-12,24.34577045317839
2023-01-13,26.85082444972242
2023-01-14,25.171716435606925
2023-01-15,23.838065614557596
2023-01-16,27.03357239156724
2023-01-17,12.031184942020392
2023-01-18,13.405535565889776
2023-01-19,17.218477042386994
2023-01-20,14.872168594716793
2023-01-21,29.74918540789107
2023-01-22,20.430252852007953
2023-01-23,12.352119616018285
2023-01-24,18.299502076080557
2023-01-25,22.70580978816031
2023-01-26,12.763319662149499
2023-01-27,14.123738977047944
2023-01-28,17.958260834571163
2023-01-29,28.859324727824582
2023-01-30,12.205425230712324
2023-01-31,14.635759321972632
2023-02-01,23.811619498654274
2023-02-02,24.37581882838533
2023-02-03,15.928360850981807
2023-02-04,10.790563163912996
2023-02-05,16.387366297094893
2023-02-06,11.664784434613756
2023-02-07,12.9411042589535
2023-02-08,29.097061509209507
2023-02-09,26.126106647368786
2023-02-10,12.251111592205524
2023-02-11,20.214096233052242
2023-02-12,22.637053662636188
2023-02-13,18.887120396893494
2023-02-14,13.90734763270997
2023-02-15,14.137195803934732
2023-02-16,26.702895309731154
2023-02-17,12.241215166880695
2023-02-18,15.82309782686188
2023-02-19,19.636578503463692
2023-02-20,15.728224391355816
2023-02-21,21.523992700181033
2023-02-22,19.92579081245376
2023-02-23,24.224578315762894
2023-02-24,11.704118294227007
2023-02-25,10.199396023419089
2023-02-26,12.2957563908125
2023-02-27,16.786831645499095
2023-02-28,29.324278025676787
2023-03-01,14.326223941621361
2023-03-02,18.082392613509967
2023-03-03,24.543495190290287
2023-03-04,18.673440403541868
2023-03-05,20.480377379669676
2023-03-06,29.846235873437983
2023-03-07,15.023316198055296
2023-03-08,25.102720676597013
2023-03-09,23.407258654153708
2023-03-10,24.151429454823518
2023-03-11,22.75657761241058
2023-03-12,15.754850446412693
2023-03-13,26.928823217073575
2023-03-14,16.37290020044669
2023-03-15,10.097714211315276
2023-03-16,15.531705595030472
2023-03-17,24.83831194580077
2023-03-18,27.925501803504886
2023-03-19,10.215897041487228
2023-03-20,11.713622246323315
2023-03-21,23.204313859590886
2023-03-22,14.638756717844409
2023-03-23,16.143444854780505
2023-03-24,29.27186875600896
2023-03-25,18.13577486659614
2023-03-26,24.091883978327992
2023-03-27,21.32541133254359
2023-03-28,15.521766445916214
2023-03-29,28.26704427533968
2023-03-30,15.763382663396296
2023-03-31,15.87887219205533
2023-04-01,10.735006447525206
2023-04-02,13.963713274761256
2023-04-03,18.241756992996475
2023-04-04,17.40004696338695
2023-04-05,14.609989524504911
2023-04-06,20.819835238666347
2023-04-07,18.04838186017775
2023-04-08,15.15040832674936
2023-04-09,17.433101257664557
2023-04-10,17.615439807301115
