date,price
2023-01-01,57.779146965776995
2023-01-02,89.11409180487227
2023-01-03,95.78331497699945
2023-01-04,77.30403361937238
2023-01-05,81.51947626742441
2023-01-06,96.37214295152798
2023-01-07,81.78569241955832
2023-01-08,96.16157042182893
2023-01-09,60.28981347263059
2023-01-10,74.71053853569911
2023-01-11,92.89240373501961
2023-01-12,86.03147953131895
2023-01-13,94.36583156605985
2023-01-14,50.31673947664071
2023-01-15,64.74288591838544
2023-01-16,63.01914810033468
2023-01-17,58.20806382388521
2023-01-18,91.07475018983952
2023-01-19,52.40762534818218
2023-01-20,51.774612117451404
2023-01-21,97.91053549325005
2023-01-22,86.46904955178718
2023-01-23,97.73241375804234
2023-01-24,54.960403714929484
2023-01-25,74.04240485030128
2023-01-26,84.6844812213278
2023-01-27,86.21651590055903
2023-01-28,93.79113425131389
2023-01-29,62.28938040058594
2023-01-30,64.61641574356838
2023-01-31,84.5385657984815
2023-02-01,75.70876034529857
2023-02-02,62.57405215125092
2023-02-03,78.32833612306133
2023-02-04,54.97855798081879
2023-02-05,76.02826468333488
2023-02-06,64.7325186141254
2023-02-07,87.6040472223787
2023-02-08,80.92063930680658
2023-02-09,55.5804778881662
2023-02-10,52.89631392446603
2023-02-11,95.242060891203
2023-02-12,81.31517843577979
2023-02-13,78.08118684494299
2023-02-14,93.98142038211994
2023-02-15,78.78864979031916
2023-02-16,78.1446301026155
2023-02-17,79.85079773734371
2023-02-18,73.35188988120312
2023-02-19,99.57260537218343
2023-02-20,52.80187778866451
2023-02-21,53.9084018342263
2023-02-22,62.27144002633088
2023-02-23,95.0910471620933
2023-02-24,74.73476026870259
2023-02-25,54.15163591220788
2023-02-26,72.38334961172025
2023-02-27,63.43654275396287
2023-02-28,51.573565349644326
2023-03-01,72.20092765622127
2023-03-02,58.37738795884533
2023-03-03,93.5324671185493
2023-03-04,87.56903257436443
2023-03-05,57.172258898428204
2023-03-06,76.79260395255486
2023-03-07,64.39169078149772
2023-03-08,87.42899751584484
2023-03-09,57.52445299562739
2023-03-10,59.528366705345334
2023-03-11,81.03111210136501
2023-03-12,50.274698830076645
2023-03-13,59.049601314627566
2023-03-14,94.84907772900176
2023-03-15,91.20782987767909
2023-03-16,88.03820578545582
2023-03-17,58.567119079313045
2023-03-18,90.92772003635918
2023-03-19,81.11504576626605
2023-03-20,69.3605870673397
2023-03-21,53.728608437868616
2023-03-22,86.20023849913709
2023-03-23,91.36046003504687
2023-03-24,62.60149492834015
2023-03-25,71.72645674163921
2023-03-26,98.87961521055082
2023-03-27,87.74615353454203
2023-03-28,87.83086618394603
2023-03-29,97.90086495707548
2023-03-30,77.52586020142245
2023-03-31,80.69338950794844
2023-04-01,91.72405221903134
2023-04-02,88.61777206257884
2023-04-03,84.21986023843318
2023-04-04,92.75926142275496
2023-04-05,77.44106778471465
2023-04-06,78.99643390736348
2023-04-07,66.53387361230088
2023-04-08,67.1803704975358
2023-04-09,57.01387692332956
2023-04-10,97.50732054925156
